# Wood Mouldings Catalog (Final Part)

## Format Legend
- Item #: Product identifier
- Width: Width of the moulding
- Box Qty: Quantity in a box
- Collection: Collection/series name
- $9,999 & Below: Base pricing
- Box: Box pricing
- Length: Pricing per length
- Chop: Pricing per chop
- Join: Pricing per join

## Wood Mouldings (Continued)

| Item # | Width | Box Qty | Collection Name | $9,999 & Below | Box | Length | Chop | Join |
|--------|-------|---------|----------------|----------------|-----|--------|------|------|
| 372208 | 1 3/16" | 250 | Shoji | 1.73 | 2.37 | 3.39 | 4.39 |
| 372247 | 1 3/16" | 270 | Renzo | 4.98 | 7.84 | 11.95 | 12.95 |
| 372285 | 1 3/16" | 228 | Tribeca | 1.70 | 3.67 | 6.95 | 7.95 |
| 372286 | 1 3/16" | 274 | White | 1.85 | 3.90 | 7.42 | 8.42 |
| 372440 | 1 3/16" | 235 | Bauhaus II | 2.44 | 3.42 | 4.40 | 5.40 |
| 372450 | 1 3/16" | 235 | Bauhaus II | 2.30 | 3.31 | 4.31 | 5.31 |
| 374650 | 1 1/4" | 198 | Tate | 2.59 | 4.34 | 6.84 | 7.84 |
| 374660 | 1 1/4" | 198 | Tate | 2.63 | 4.34 | 6.84 | 7.84 |
| 374670 | 1 1/4" | 198 | Tate | 3.54 | 5.65 | 8.61 | 9.61 |
| 376900 | 1 3/4" | 251 | Lisbon | 9.35 | 15.03 | 20.47 | 21.47 |
| 376902 | 1 3/4" | 288 | Lisbon | 9.52 | 15.04 | 20.47 | 21.47 |
| 376903 | 1 3/4" | 262 | Lisbon | 9.66 | 15.03 | 20.46 | 21.46 |
| 379240 | 1 3/4" | 180 | Lancaster | 3.88 | 6.56 | 10.88 | 11.88 |
| 379250 | 1 3/4" | 285 | Lancaster | 3.78 | 6.56 | 10.88 | 11.88 |
| 379260 | 1 3/4" | 157 | Lancaster | 3.95 | 6.56 | 11.04 | 12.04 |
| 380650 | 1 1/2" | 252 | Tate | 3.06 | 4.53 | 7.95 | 8.95 |
| 380660 | 1 1/2" | 252 | Tate | 3.06 | 4.53 | 7.95 | 8.95 |
| 380670 | 1 1/2" | 252 | Tate | 3.52 | 5.39 | 8.52 | 9.52 |
| 381310 | 1 1/4" | 251 | Homestead | 4.18 | 6.69 | 11.95 | 12.95 |
| 381312 | 1 1/4" | 250 | Homestead | 3.68 | 5.71 | 9.90 | 10.90 |
| 382285 | 1 5/8" | 125 | Tribeca | 2.61 | 4.20 | 8.02 | 9.02 |
| 382286 | 1 5/8" | 133 | White | 2.61 | 4.20 | 8.02 | 9.02 |
| 382310 | 1 1/2" | 290 | Homestead | 4.15 | 6.83 | 12.04 | 13.04 |
| 382440 | 1 5/8" | 135 | Bauhaus II | 4.09 | 5.15 | 6.03 | 7.03 |
| 382450 | 1 5/8" | 145 | Bauhaus II | 3.85 | 4.84 | 5.66 | 6.66 |
| 384605 | 1 1/2" | 140 | Axel | 9.11 | 13.22 | 21.28 | 22.28 |
| 384610 | 1 1/2" | 160 | Axel | 9.21 | 13.22 | 21.51 | 22.51 |
| 385252 | 1 3/16" | 400 | Ferrosa | 4.41 | 8.03 | 12.94 | 13.94 |
| 385403 | 1 3/16" | 162 | Whitman | 7.52 | 10.80 | 17.29 | 18.29 |
| 385405 | 1 3/16" | 162 | Whitman | 7.52 | 10.80 | 17.29 | 18.29 |
| 385556 | 1 3/16" | 275 | Ferrosa | 4.40 | 7.99 | 12.91 | 13.91 |
| 386350 | 1 1/2" | 180 | Brooklyn | 2.88 | 4.39 | 6.48 | 7.48 |
| 388630 | 1 9/16" | 235 | Devon | 7.25 | 11.46 | 16.88 | 17.88 |
| 388640 | 1 9/16" | 313 | Devon | 7.31 | 11.45 | 16.87 | 17.87 |
| 388650 | 1 9/16" | 270 | Devon | 7.29 | 11.45 | 16.88 | 17.88 |
| 389183 | 1 5/8" | 116 | Ambrosia | 8.89 | 14.55 | 22.16 | 23.16 |
| 389184 | 1 5/8" | 190 | Ambrosia | 8.93 | 14.33 | 22.25 | 23.25 |
| 389403 | 1 3/16" | 170 | Whitman | 4.63 | 6.72 | 11.18 | 12.18 |
| 389405 | 1 3/16" | 144 | Whitman | 4.33 | 6.28 | 10.45 | 11.45 |
| 390285 | 1 9/16" | 190 | Tribeca | 2.56 | 3.74 | 7.02 | 8.02 |
| 390286 | 1 9/16" | 190 | White | 2.75 | 4.20 | 7.92 | 8.92 |
| 391320 | 1 9/16" | 196 | Harlow | 7.10 | 9.43 | 14.55 | 15.55 |
| 392320 | 1 9/16" | 164 | Harlow | 8.66 | 11.24 | 17.34 | 18.34 |
| 395252 | 1 7/16" | 190 | Ferrosa | 6.64 | 10.03 | 15.96 | 16.96 |
| 395254 | 1 7/16" | 185 | Ferrosa | 6.41 | 9.70 | 15.44 | 16.44 |
