# Wood Mouldings Catalog (Final Section)

## Format Legend
- Item #: Product identifier
- Width: Width of the moulding
- Box Qty: Quantity in a box
- Collection: Collection/series name
- $9,999 & Below: Base pricing
- Box: Box pricing
- Length: Pricing per length
- Chop: Pricing per chop
- Join: Pricing per join

## Wood Mouldings (Continued)

| Item # | Width | Box Qty | Collection Name | $9,999 & Below | Box | Length | Chop | Join |
|--------|-------|---------|----------------|----------------|-----|--------|------|------|
| 431431 | 1 3/8" | 115 | Zen | 10.83 | 15.91 | 26.01 | 27.01 |
| 431432 | 1 3/8" | 113 | Zen | 10.27 | 15.10 | 24.68 | 25.68 |
| 431434 | 1 3/8" | 110 | Zen | 10.75 | 15.81 | 25.82 | 26.82 |
| 432900 | 1 3/4" | 225 | Foundry | 6.62 | 9.75 | 15.03 | 16.03 |
| 432902 | 1 3/4" | 236 | Foundry | 6.81 | 10.07 | 15.52 | 16.52 |
| 433082 | 1 11/16" | 108 | Soho | 5.09 | 9.55 | 14.41 | 15.41 |
| 433084 | 1 11/16" | 108 | Soho | 5.16 | 9.59 | 14.54 | 15.54 |
| 433086 | 1 11/16" | 108 | Soho | 5.22 | 9.59 | 14.54 | 15.54 |
| 434110 | 1 1/4" | 137 | CR2 | 6.33 | 9.33 | 14.98 | 15.98 |
| 435500 | 1 5/16" | 324 | Alto | 1.80 | 3.60 | 6.72 | 7.72 |
| 435510 | 1 5/16" | 296 | Alto | 1.80 | 3.60 | 6.72 | 7.72 |
| 436350 | 1 5/8" | 143 | Brooklyn | 2.29 | 3.66 | 6.08 | 7.08 |
| 437500 | 1 3/16" | 215 | Alto | 2.03 | 3.60 | 7.22 | 8.22 |
| 437510 | 1 3/16" | 180 | Alto | 2.03 | 3.60 | 7.22 | 8.22 |
| 438120 | 2" | 150 | Dresden | 6.78 | 10.26 | 15.05 | 16.05 |
| 439082 | 2 1/16" | 126 | Soho | 4.42 | 7.58 | 11.40 | 12.40 |
| 440240 | 1 3/8" | 190 | Java | 7.59 | 11.23 | 18.27 | 19.27 |
| 440951 | 2" | 92 | Cezanne | 18.08 | 25.65 | 29.81 | 30.81 |
| 441075 | 2 1/16" | 150 | Prague | 9.48 | 13.90 | 23.98 | 24.98 |
| 441077 | 2 1/16" | 155 | Prague | 9.44 | 13.82 | 23.86 | 24.86 |
| 442650 | 1 3/4" | 162 | Tate | 4.76 | 8.08 | 11.57 | 12.57 |
| 442660 | 1 3/4" | 162 | Tate | 4.76 | 8.07 | 11.56 | 12.56 |
| 442670 | 1 3/4" | 162 | Tate | 4.67 | 7.74 | 11.04 | 12.04 |
| 443960 | 2" | 216 | Flax | 2.42 | 4.08 | 9.10 | 10.10 |
| 443962 | 2" | 252 | Flax | 2.28 | 3.82 | 8.53 | 9.53 |
| 443966 | 2" | 216 | Flax | 2.39 | 4.03 | 8.98 | 9.98 |
| 444110 | 1 5/8" | 202 | CR2 | 6.06 | 9.34 | 14.36 | 15.36 |
| 445482 | 2 1/2" | 135 | Jasper | 2.89 | 3.65 | 5.66 | 6.66 |
| 445484 | 2 1/2" | 135 | Jasper | 3.06 | 4.21 | 5.95 | 6.95 |
| 449350 | 1 3/4" | 180 | Barrington | 6.59 | 9.89 | 15.69 | 16.69 |
| 452100 | 1 1/2" | 157 | Carbon | 6.91 | 10.79 | 14.55 | 15.55 |
| 453250 | 1 1/2" | 423 | Andover | 3.68 | 5.56 | 8.33 | 9.33 |
| 453260 | 1 1/2" | 447 | Andover | 3.56 | 5.56 | 8.33 | 9.33 |
| 453270 | 1 1/2" | 406 | Andover | 3.72 | 5.56 | 8.33 | 9.33 |
| 453280 | 1 1/2" | 430 | Andover | 3.73 | 5.56 | 8.33 | 9.33 |
| 453290 | 1 1/2" | 396 | Andover | 3.59 | 5.56 | 8.33 | 9.33 |
| 454301 | 1 1/16" | 112 | Brittany | 7.94 | 12.78 | 18.00 | 19.00 |
| 454302 | 1 1/16" | 110 | Brittany | 8.24 | 12.81 | 18.67 | 19.67 |
| 458184 | 13/16" | 240 | L7 | 10.16 | 12.90 | 16.25 | 17.25 |
| 458185 | 13/16" | 143 | L7 | 9.39 | 11.80 | 15.27 | 16.27 |
| 458186 | 13/16" | 250 | L7 | 10.22 | 12.86 | 16.24 | 17.24 |
| 459500 | 1 15/16" | 158 | Alto | 2.50 | 4.16 | 8.48 | 9.48 |
| 459510 | 1 15/16" | 157 | Alto | 2.50 | 3.80 | 8.48 | 9.48 |
| 460620 | 1 7/8" | 75 | Anvil | 10.70 | 15.50 | 24.22 | 25.22 |
| 461912 | 2" | 76 | Chateau | 16.79 | 21.84 | 30.49 | 31.49 |
| 462620 | 1 9/16" | 92 | Anvil | 8.67 | 12.41 | 17.91 | 18.91 |
| 463110 | 1 1/16" | 360 | Brighton | 1.65 | 3.33 | 5.41 | 6.41 |
| 463120 | 1 1/16" | 360 | Brighton | 1.57 | 3.16 | 5.13 | 6.13 |
| 463130 | 1 1/16" | 360 | Brighton | 1.65 | 3.33 | 5.41 | 6.41 |
| 465110 | 1 3/16" | 288 | Brighton | 1.62 | 3.20 | 5.36 | 6.36 |
| 465120 | 1 3/16" | 288 | Brighton | 1.75 | 3.46 | 5.79 | 6.79 |
| 465130 | 1 3/16" | 288 | Brighton | 1.65 | 3.25 | 5.45 | 6.45 |
| 468120 | 1 9/16" | 98 | Dresden | 6.46 | 9.78 | 14.54 | 15.54 |
| 468966 | 1 3/4" | 162 | Ascot | 9.85 | 13.22 | 20.39 | 21.39 |
| 470250 | 1 11/16" | 218 | Andover | 4.94 | 6.95 | 9.93 | 10.93 |
| 470260 | 1 11/16" | 235 | Andover | 4.88 | 6.85 | 9.82 | 10.82 |
| 470270 | 1 11/16" | 218 | Andover | 4.95 | 6.84 | 9.94 | 10.94 |
| 470280 | 1 11/16" | 206 | Andover | 4.57 | 6.85 | 10.26 | 11.26 |
| 470290 | 1 11/16" | 235 | Andover | 4.87 | 6.85 | 9.80 | 10.80 |
| 471550 | 1 9/16" | 233 | Intermezzo | 8.05 | 12.40 | 18.85 | 19.85 |
| 471560 | 1 9/16" | 226 | Intermezzo | 7.99 | 12.41 | 18.86 | 19.86 |
| 471570 | 1 9/16" | 248 | Intermezzo | 8.11 | 12.41 | 18.85 | 19.85 |
