# Wood Mouldings Catalog (Part 3)

## Format Legend
- Item #: Product identifier
- Width: Width of the moulding
- Box Qty: Quantity in a box
- Collection: Collection/series name
- $9,999 & Below: Base pricing
- Box: Box pricing
- Length: Pricing per length
- Chop: Pricing per chop
- Join: Pricing per join

## Wood Mouldings (Continued)

| Item # | Width | Box Qty | Collection Name | $9,999 & Below | Box | Length | Chop | Join |
|--------|-------|---------|----------------|----------------|-----|--------|------|------|
| 265975 | 7/8" | 275 | Petites III | 3.23 | 4.18 | 8.15 | 9.15 |
| 265976 | 7/8" | 275 | Petites III | 3.25 | 4.18 | 8.15 | 9.15 |
| 265977 | 7/8" | 275 | Petites III | 3.25 | 4.19 | 8.16 | 9.16 |
| 266900 | 13/16" | 590 | Lisbon | 5.16 | 8.29 | 12.18 | 13.18 |
| 266902 | 13/16" | 707 | Lisbon | 5.16 | 8.29 | 12.18 | 13.18 |
| 266903 | 13/16" | 704 | Lisbon | 5.16 | 8.28 | 12.18 | 13.18 |
| 267974 | 13/16" | 236 | Petites III | 3.50 | 4.48 | 8.75 | 9.75 |
| 267975 | 13/16" | 236 | Petites III | 3.50 | 4.48 | 8.73 | 9.73 |
| 267976 | 13/16" | 236 | Petites III | 3.51 | 4.49 | 8.77 | 9.77 |
| 267977 | 13/16" | 236 | Petites III | 3.50 | 4.47 | 8.73 | 9.73 |
| 269240 | 13/16" | 315 | Lancaster | 4.49 | 7.59 | 11.82 | 12.82 |
| 269250 | 13/16" | 314 | Lancaster | 5.05 | 7.81 | 12.75 | 13.75 |
| 269260 | 13/16" | 300 | Lancaster | 4.48 | 7.59 | 11.82 | 12.82 |
| 270706 | 1 1/2" | 193 | Olsen | 3.18 | 5.00 | 7.62 | 8.62 |
| 270708 | 1 1/2" | 193 | Olsen | 3.18 | 5.00 | 7.62 | 8.62 |
| 271153 | 3/4" | 252 | Spencer II | 3.72 | 5.48 | 8.17 | 9.17 |
| 271154 | 3/4" | 320 | Spencer II | 3.72 | 5.48 | 8.17 | 9.17 |
| 272110 | 3/4" | 234 | Cumberland | 6.11 | 8.79 | 13.23 | 14.23 |
| 272111 | 3/4" | 240 | Cumberland | 4.41 | 6.35 | 9.55 | 10.55 |
| 272112 | 3/4" | 220 | Cumberland | 4.66 | 6.73 | 10.09 | 11.09 |
| 272113 | 3/4" | 240 | Cumberland II | 7.48 | 10.78 | 17.10 | 18.10 |
| 272212 | 1" | 280 | Senelar | 10.45 | 15.23 | 22.94 | 23.94 |
| 272310 | 3/4" | 274 | Hans | 3.08 | 4.29 | 7.53 | 8.53 |
| 272311 | 3/4" | 274 | Hans | 3.01 | 4.30 | 7.54 | 8.54 |
| 272312 | 3/4" | 274 | Hans | 3.04 | 4.30 | 7.55 | 8.55 |
| 272313 | 3/4" | 274 | Hans | 3.06 | 4.29 | 7.53 | 8.53 |
| 272710 | 3/4" | 180 | Alden | 6.36 | 7.84 | 12.54 | 13.54 |
| 272712 | 3/4" | 180 | Alden | 6.36 | 7.84 | 12.54 | 13.54 |
| 274110 | 3/4" | 370 | Alloy | 3.56 | 4.50 | 8.24 | 9.24 |
| 274111 | 3/4" | 373 | Alloy | 3.59 | 5.12 | 8.20 | 9.20 |
| 274112 | 3/4" | 373 | Alloy | 3.70 | 5.28 | 8.44 | 9.44 |
| 274113 | 3/4" | 373 | Alloy | 3.62 | 5.18 | 8.29 | 9.29 |
| 275870 | 1 1/2" | 109 | Colosseum II | 5.45 | 7.78 | 12.42 | 13.42 |
| 275871 | 1 1/2" | 109 | Colosseum II | 5.45 | 7.78 | 12.42 | 13.42 |
| 275872 | 1 1/2" | 109 | Colosseum II | 5.45 | 7.78 | 12.42 | 13.42 |
| 275874 | 1 1/2" | 109 | Colosseum II | 5.45 | 7.78 | 12.42 | 13.42 |
| 275876 | 1 1/2" | 109 | Colosseum II | 5.45 | 7.78 | 12.42 | 13.42 |
| 275877 | 1 1/2" | 109 | Colosseum | 5.45 | 7.78 | 12.42 | 13.42 |
