# Wood Mouldings Catalog (Part 4)

## Format Legend
- Item #: Product identifier
- Width: Width of the moulding
- Box Qty: Quantity in a box
- Collection: Collection/series name
- $9,999 & Below: Base pricing
- Box: Box pricing
- Length: Pricing per length
- Chop: Pricing per chop
- Join: Pricing per join

## Wood Mouldings (Continued)

| Item # | Width | Box Qty | Collection Name | $9,999 & Below | Box | Length | Chop | Join |
|--------|-------|---------|----------------|----------------|-----|--------|------|------|
| 321724 | 1" | 375 | Vermont | 2.72 | 6.44 | 10.60 | 11.60 |
| 321725 | 1" | 370 | Vermont | 2.72 | 6.44 | 10.58 | 11.58 |
| 321726 | 1" | 330 | Vermont | 2.71 | 6.43 | 10.57 | 11.57 |
| 322206 | 2" | 98 | Shoji | 4.78 | 6.54 | 9.36 | 10.36 |
| 322208 | 2" | 88 | Shoji | 4.78 | 6.54 | 9.36 | 10.36 |
| 322440 | 1 7/8" | 78 | Bauhaus II | 7.06 | 8.86 | 10.37 | 11.37 |
| 322450 | 1 7/8" | 57 | Bauhaus II | 6.63 | 8.32 | 9.19 | 10.19 |
| 323960 | 1 1/16" | 144 | Flax | 1.71 | 2.92 | 6.56 | 7.56 |
| 323962 | 1 1/16" | 144 | Flax | 1.83 | 3.13 | 7.02 | 8.02 |
| 323966 | 1 1/16" | 144 | Flax | 1.78 | 3.05 | 6.85 | 7.85 |
| 324940 | 2" | 76 | Gallery One | 3.04 | 5.68 | 9.95 | 10.95 |
| 324941 | 2" | 76 | Gallery One | 3.04 | 5.68 | 9.95 | 10.95 |
| 325100 | 1 9/16" | 137 | Spoleto | 5.90 | 9.95 | 16.59 | 17.59 |
| 325110 | 1 9/16" | 143 | Spoleto | 5.87 | 9.91 | 16.53 | 17.53 |
| 325130 | 1 9/16" | 112 | Spoleto | 5.88 | 9.94 | 16.57 | 17.57 |
| 326180 | 1 3/4" | 162 | Hudson | 4.66 | 6.95 | 11.00 | 12.00 |
| 326190 | 1 3/4" | 162 | Hudson | 4.49 | 6.51 | 10.58 | 11.58 |
| 326200 | 1 3/4" | 162 | Hudson II | 4.25 | 6.36 | 10.60 | 11.60 |
| 326210 | 1 3/4" | 176 | Hudson II | 4.25 | 6.36 | 10.60 | 11.60 |
| 326220 | 1 3/4" | 162 | Hudson II | 4.74 | 7.05 | 11.10 | 12.10 |
| 327100 | 1 3/16" | 250 | Spoleto | 3.41 | 5.98 | 11.16 | 12.16 |
| 327110 | 1 3/16" | 321 | Spoleto | 3.46 | 6.07 | 11.33 | 12.33 |
| 327130 | 1 3/16" | 343 | Spoleto | 3.42 | 6.00 | 11.20 | 12.20 |
| 332900 | 1 1/8" | 272 | Foundry | 5.64 | 8.35 | 13.05 | 14.05 |
| 332902 | 1 1/8" | 171 | Foundry | 5.74 | 8.48 | 13.27 | 14.27 |
| 332904 | 1 1/8" | 177 | Metalia | 4.39 | 5.46 | 8.74 | 9.74 |
| 332905 | 1 1/8" | 170 | Metalia | 4.39 | 5.46 | 8.74 | 9.74 |
| 332906 | 1 1/8" | 177 | Metalia | 4.39 | 5.46 | 8.74 | 9.74 |
| 332907 | 1 1/8" | 165 | Metalia | 4.39 | 5.46 | 8.74 | 9.74 |
| 332908 | 1 1/8" | 170 | Metalia | 4.39 | 5.46 | 8.74 | 9.74 |
| 334082 | 7/8" | 158 | Soho | 1.70 | 3.29 | 4.90 | 5.90 |
| 334084 | 7/8" | 162 | Soho | 1.68 | 3.24 | 4.81 | 5.81 |
