# Wood Mouldings Complete Catalog

## Format Legend
- Item #: Product identifier
- Width: Width of the moulding
- Box Qty: Quantity in a box
- Collection: Collection/series name
- $9,999 & Below: Base pricing
- Box: Box pricing
- Length: Pricing per length
- Chop: Chop pricing
- Join: Join pricing

## Wood Mouldings

| Item # | Width | Box Qty | Collection Name | $9,999 & Below | Box | Length | Chop | Join |
|--------|-------|---------|----------------|----------------|-----|--------|------|------|
| 10-036M | 5/8" | 360 | Maple & Walnut - Garrett | 6.62 | 10.05 | 13.52 | 14.52 |
| 10-100M | 5/8" | 375 | Maple & Walnut - Garrett | 6.34 | 9.71 | 12.75 | 13.75 |
| 10-507M | 5/8" | 306 | Museum Stems - Garrett | 6.52 | 9.91 | 13.00 | 14.00 |
| 100172 | 1/4" | 1600 | Olmsted | 2.75 | 4.64 | 7.28 | 8.28 |
| 100750 | 1/4" | 1200 | Sofia | 2.63 | 4.04 | 6.73 | 7.73 |
| 100751 | 1/4" | 1587 | Sofia | 2.63 | 4.04 | 6.73 | 7.73 |
| 100752 | 1/4" | 1000 | Sofia | 2.63 | 4.04 | 6.73 | 7.73 |
| 102CG | 1/2" | 432 | Marquis | 1.74 | 3.70 | 6.43 | 7.43 |
| 102CS | 1/2" | 432 | Marquis | 1.74 | 3.70 | 6.43 | 7.43 |
| 103180 | 9/16" | 900 | Hudson | 1.46 | 3.11 | 5.56 | 6.56 |
| 103190 | 9/16" | 900 | Hudson | 1.40 | 2.97 | 5.30 | 6.30 |
| 103235 | 5/16" | 1200 | Academie | 1.44 | 3.17 | 5.64 | 6.64 |
| 103237 | 5/16" | 1296 | Academie | 1.43 | 3.14 | 5.59 | 6.59 |
| 105794 | 5/16" | 785 | Lucerne | 3.21 | 5.02 | 8.01 | 9.01 |
| 105CB | 1/2" | 270 | Vienna | 2.21 | 3.31 | 5.71 | 6.71 |
| 106180 | 1/2" | 900 | Hudson | 1.39 | 2.99 | 5.31 | 6.31 |
| 106190 | 1/2" | 900 | Hudson | 1.32 | 2.83 | 5.09 | 6.09 |
| 108184 | 1/8" | 1300 | L7 | 4.74 | 7.04 | 9.81 | 10.81 |
| 108185 | 1/8" | 950 | L7 | 4.80 | 7.04 | 9.79 | 10.79 |
| 108186 | 1/8" | 1400 | L7 | 4.84 | 7.04 | 9.81 | 10.81 |
| 11-036M | 5/8" | 200 | Maple & Walnut - Garrett | 7.90 | 12.66 | 16.13 | 17.13 |
| 11-100M | 5/8" | 210 | Maple & Walnut - Garrett | 7.71 | 12.38 | 15.74 | 16.74 |
| 11-507M | 5/8" | 274 | Museum Stems - Garrett | 7.94 | 12.67 | 16.30 | 17.30 |
| 112-060C | 9/16" | 375 | Museum Stems - Garrett | 5.51 | 8.66 | 11.34 | 12.34 |
| 112-100M | 9/16" | 360 | Museum Stems - Garrett | 5.74 | 8.84 | 11.30 | 12.30 |
| 112-500A | 9/16" | 483 | Museum Stems - Garrett | 4.41 | 5.84 | 7.80 | 8.80 |
