Larson-Pricing File US_1749320332089.csv
item,desc,width,um,upc,wedges,listprice,chopprice,joinprice,Class,boxqty,boxprice,pricecode,isfillet,iscutmat,ismatboard
"C89861","Crescent York 40x60","0","EA",""="093924150777","0","28.1","0","0","Matboard","0","0","","N","Y","Y"
"346640","Sedona Sandune 1 3/8'","1.375","FT",""="720472126922","2","5.68","9.79","10.79","Frame Moulding","189","3.88","M","N","N","N"
"226210","Hudson II Black 13/16'","0.8125","FT",""="720472183758","1","3.75","7","8","Frame Moulding","203","2.29","L","N","N","N"
"449350","Barrington Light Cherry 1 3/4'","1.75","FT",""="720472140867","2","8.34","13.24","14.24","Frame Moulding","200","5.56","L*","N","N","N"
"37-786P","Waterwoods Beach Blonde 5/8'","0.625","FT",""="720472184533","1","3.98","5.28","6.28","Frame Moulding","510","2.59","K","N","N","N"
"C1312","Crescent Russet Leather 32x40","0","EA",""="N/A","0","364.49","0","0","Matboard","0","0","","N","N","Y"
"CM150044","Clark Black 3/8'","0.375","FT",""="720472123761","0","3.22","5.05","0","Frame Moulding","160","3.22","K","N","N","N"
"B8502","Bainbridge Mimosa 32' x 40'","0","EA",""="702946002796","0","18.07","0","0","Matboard","0","0","","N","Y","Y"
"136084","Soho Fillet Silver 7/16'","0.4375","FT",""="720472134828","0","2.9","4.73","5.73","Fillet","445","1.38","K*","Y","N","N"
"351802","Belmont Black 1 1/2'","1.5","FT",""="720472154666","2","13.1","19.49","20.49","Frame Moulding","222","8.67","O*","N","N","N"
"222940","Gallery One Black 3/4'","0.75","FT",""="720472159746","0","4.49","7.88","8.88","Frame Moulding","266","2.38","L","N","N","N"
"C229613","Crescent Super White 32x40","0","EA",""="093924194030","0","27.67","0","0","Matboard","0","0","","N","Y","Y"
"N9352","Nielsen Bright White 13/32'","0.40625","FT",""="087828393477","0","5.26","6.7","0","Frame Moulding","160","3.65","K","N","N","N"
"N93555","Nielsen Gold Linen 13/32'","0.40625","FT",""="087828025293","0","6.11","7.78","0","Frame Moulding","160","4.24","70","N","N","N"
"347630","Confetti Black 1 3/4'","1.75","FT",""="720472150545","2","4.95","8.14","9.14","Frame Moulding","160","3.08","L","N","N","N"
"C2269","Crescent Antique White 48x72","0","EA",""="093924194009","0","73.46","0","0","Matboard","N/A","0","","N","N","Y"
"X1537","Fillets and Liners Liner White 3/4'","0.75","FT",""="720472103640","1","3.56","5.87","6.87","Frame Moulding","480","2.12","L*","N","N","N"
"C7114","Crescent Carbon Black 32x40","0","EA",""="093924103612","0","47.72","0","0","Matboard","0","0","","N","Y","Y"
"609406","Lars 3 1/4' Grille Antique Gold","3.25","FT",""="720472198530","2","9.11","13.08","14.08","Frame Moulding","99","6.38","","N","N","N"
"115-500A","Museum Stems Black Ash 1/2'","0.5625","FT",""="720472187473","1","4.7","6.25","7.25","Frame Moulding","400","3.41","L","N","N","N"
"C85713","Crescent Neutral Gray 40x60","0","EA",""="093924184161","0","35.3","0","0","Matboard","0","0","","N","Y","Y"
"10825","Universal 10mm (3/8')  Softwood Wedges","0","EA",""="720472217361","0","42.68","0","0","Supplies","0","0","","N","N","N"
"B8301","Bainbridge Ivory Black/Black Sable 32' x 40'","0","EA",""="702946003502","0","21.85","0","0","Matboard","0","0","","N","Y","Y"
"B12004","Bainbridge Kid Glove 32' x 40'","0","EA",""="702946146070","0","9.97","0","0","Matboard","0","0","","N","Y","Y"
"B8043","Bainbridge Medium Marine 32' x 40'","0","EA",""="702946140009","0","22.96","0","0","Matboard","0","0","","N","Y","Y"
"422831","Biltmore Black 1 1/4'","1.3125","FT",""="720472156769","1","12.92","19.78","20.78","Frame Moulding","270","8.78","O","N","N","N"
"C87705","Crescent Stone 40x60","0","EA",""="093924185908","0","136","0","0","Matboard","0","0","","N","Y","Y"
"80509","Arqadia Black 1 3/4'","1.75","BX",""="720472145749","2","2.23","0","0","Frame Moulding","180","2.23","B","N","N","N"
"C7109","Crescent Taupe 32x40","0","EA",""="093924103575","0","47.72","0","0","Matboard","0","0","","N","Y","Y"
"384610","Axel Smoked Timber 1 1/2'","1.5","FT",""="720472181341","2","13.22","21.51","22.51","Frame Moulding","160","9.21","O","N","N","N"
"22203","FlexiMaster Point Driver","0","EA",""="720472207560","0","132.14","0","0","Supplies","0","0","","N","N","N"
"24806","Double Offsets 3/4'","0","EA",""="N/A","0","11.6","0","0","Supplies","0","0","","N","N","N"
"C87113","Crescent Marine Blue 40x60","0","EA",""="093924103834","0","84.51","0","0","Matboard","0","0","","N","Y","Y"
"B8272","Bainbridge Goldenrod 32' x 40'","0","EA",""="702946150534","0","18.07","0","0","Matboard","0","0","","N","Y","Y"
"51198","Tru Vue Optium Museum Acrylic 48' x 96', 3mm","0","EA",""="N/A","0","875.69","0","0","Glazing & Foam","0","0","","N","N","N"
"AQ5698","Arqadia Glacier 32' x 40'","0","PK",""="N/A","0","34.8","0","0","Matboard","0","0","","N","N","Y"
"N21233","NIELSEN PURPLE HAZE 9/16'","0.59375","FT",""="087828092967","0","5.83","7.85","0","Frame Moulding","120","4.51","","N","N","N"
"363124","Cabana Cabana Blue Bevel 13/16'","0.8125","FT",""="720472197885","1","5.03","7.68","8.68","Frame Moulding","250","3.2","M","N","N","N"
"B12010L","Bainbridge Cork 40' x 60'","0","EA",""="702946145837","0","25.1","0","0","Matboard","0","0","","N","Y","Y"
"B12016","Bainbridge Bridal Veil 32' x 40'","0","EA",""="702946146193","0","9.97","0","0","Matboard","0","0","","N","Y","Y"
"A4931","Artique Lavender 32' x 40'","0","EA",""="720472329668","0","11.48","0","0","Matboard","0","0","","N","Y","Y"
"C1709","Crescent Light Umbria 32x40","0","EA",""="093924117626","0","23.84","0","0","Matboard","N/A","0","","N","Y","Y"
"111800","Belmont Fillet Light Olive 3/8'","0.375","FT",""="720472154628","0","3.84","6.23","7.23","Fillet","3330","2.61","K*","Y","N","N"
"A4809","Artique Khaki 32' x 40'","0","EA",""="720472330053","0","11.48","0","0","Matboard","0","0","","N","Y","Y"
"437510","Alto White 1 3/16'","1.1875","FT",""="720472184328","1","3.6","7.22","8.22","Frame Moulding","177","2.03","K","N","N","N"
"123964","Flax Liner Pebble 3/4'","0.75","FT",""="720472159869","1","2.48","5.84","6.84","Frame Moulding","216","1.33","K","N","N","N"
"CSRM988","Crescent Williamsburg Green 32x40","0","EA",""="093924130298","0","10.19","0","0","Matboard","0","0","","N","N","Y"
"195075","Prague Fillet Light Gold 3/8'","0.375","FT",""="720472134699","0","6.48","11.41","12.41","Fillet","1425","4.4","M","Y","N","N"
"CBR824921","BRTCORE - BLACK ON GREEN 40X60","0","EA",""="093924195297","0","43.29","0","0","Matboard","0","0","","N","Y","Y"
"A4802","Artique Oyster 32' x 40'","0","EA",""="720472329989","0","11.48","0","0","Matboard","0","0","","N","Y","Y"
"207650","Tate Black 3/4'","0.75","FT",""="720472181150","0","3.12","4.61","5.61","Frame Moulding","216","1.64","K","N","N","N"
"B4310","Bainbridge Astroturf 32' x 40'","0","EA",""="702946143024","0","70.63","0","0","Matboard","0","0","","N","Y","Y"
"A4834","Artique Sangria 32' x 40'","0","EA",""="720472330305","0","11.48","0","0","Matboard","0","0","","N","Y","Y"
"245154","Spencer II Gold Cap 3/4'","0.75","FT",""="720472198943","2","4.07","6.07","7.07","Frame Moulding","360","2.76","L","N","N","N"
"C9737","Crescent Gobi 32x40","0","EA",""="093924155086","0","20.96","0","0","Matboard","0","0","","N","Y","Y"
"B4UC","BAIN UTIL MNT BRD 32X40 DBL","0","EA",""="N/A","0","7.61","0","0","Matboard","0","0","","N","N","Y"
"581100","Panzano Peat 2 3/16'","2.1875","FT",""="720472191487","2","18.64","24.33","25.33","Frame Moulding","166","10.71","P","N","N","N"
"B8108","Bainbridge Sherry 32' x 40'","0","EA",""="702946036470","0","18.07","0","0","Matboard","0","0","","N","Y","Y"
"C7113","Crescent Marine Blue 32x40","0","EA",""="093924103605","0","47.72","0","0","Matboard","0","0","","N","Y","Y"
"C9510","Crescent Froth 32x40","0","EA",""="093924137266","0","13.37","0","0","Matboard","0","0","","N","Y","Y"
"376902","Lisbon Aged Walnut 1 3/4'","1.75","FT",""="720472158350","2","15.04","20.47","21.47","Frame Moulding","288","9.52","O","N","N","N"
"C9808","Crescent Ivory Art 32x40","0","EA",""="093924145506","0","13.37","0","0","Matboard","0","0","","N","Y","Y"
"LJ125B","LJ PL Spacer 1/8', Black, 100'","0","EA",""="731717633211","0","41.64","0","0","Supplies","0","0","","N","N","N"
"B88","Bainbridge T.V. Grey 32' x 40'","0","EA",""="702946001423","0","9.82","0","0","Matboard","0","0","","N","N","Y"
"B8445L","Bainbridge Fiddlehead 40' x 60'","0","EA",""="702946061601","0","36.47","0","0","Matboard","0","0","","N","Y","Y"
"140649","Confetti Red Orange 7/8'","0.875","FT",""="720472160216","1","2.91","5.1","6.1","Frame Moulding","162","1.77","J","N","N","N"
"80162C","3' DISTRESSED WALNUT","3","FT",""="720472157919","2","3.76","10.43","14.6","Frame Moulding","75","3.76","","N","N","N"
"294110","Alloy Nickel 1'","1","FT",""="720472196208","1","7.11","11.4","12.4","Frame Moulding","190","5","M","N","N","N"
"243510","Alto White 13/16'","0.8125","FT",""="720472184304","1","3.78","6.7","7.7","Frame Moulding","354","2.1","J*","N","N","N"
"B8180","Bainbridge Mocha 32' x 40'","0","EA",""="702946111276","0","18.07","0","0","Matboard","0","0","","N","Y","Y"
"CB6-97","Crescent Polar White 32x40","0","PK",""="N/A","0","100.03","0","0","Matboard","0","0","","N","N","Y"
"C229598","Crescent Before Dark 32x40","0","EA",""="093924194061","0","27.67","0","0","Matboard","0","0","","N","Y","Y"
"C7140","Crescent Weesp Blue 32x40","0","EA",""="093924103728","0","47.72","0","0","Matboard","0","0","","N","Y","Y"
"CM160013","Clark Black 5/8'","0.625","FT",""="720472124225","0","4.4","6.74","0","Frame Moulding","205","4.4","L","N","N","N"
"B4020","Bainbridge Raphael Cloud 32' x 40'","0","EA",""="702946062141","0","64.5","0","0","Matboard","0","0","","N","Y","Y"
"B8647L","Bainbridge Pearl White 40' x 60'","0","EA",""="702946029144","0","47.77","0","0","Matboard","0","0","","N","Y","Y"
"C2297","Crescent Cream 32x40","0","EA",""="093924118074","0","24.59","0","0","Matboard","N/A","0","","N","Y","Y"
"A4977","Artique Digital White 32' x 40'","0","EA",""="720472335805","0","11.48","0","0","Matboard","0","0","","N","Y","Y"
"530660","Tate Silver 2 1/4'","2.25","FT",""="720472181242","2","5.86","8.7","9.7","Frame Moulding","162","3.72","L","N","N","N"
"B878503","Bainbridge Rococo Cream 32' x 40'","0","EA",""="702946069966","0","23.88","0","0","Matboard","0","0","","N","Y","Y"
"C7313","Crescent Praline 32X40","0","EA",""="093924189135","0","95.54","0","0","Matboard","0","0","","N","Y","Y"
"10558","Putnam/Mitre Mite 10mm (3/8')  Hardwood V-Nails","0","EA",""="720472218962","0","45.82","0","0","Supplies","0","0","","N","N","N"
"CB403","Crescent Pure White 32x40","0","PK",""="N/A","0","93.92","0","0","Matboard","0","0","","N","N","Y"
"577100","H4 Float Silver 1 5/8'","1.625","FT",""="720472191937","0","13.84","21.06","22.06","Frame Moulding","120","9.4","O","N","N","N"
"C25703","Crescent Antique White 32x40","0","EA",""="093924177170","0","30.72","0","0","Matboard","0","0","","N","Y","Y"
"21700","Print Sleeve, 30' x 40'","0","EA",""="720472218047","0","12.75","0","0","Supplies","0","0","","N","N","N"
"C915","Crescent Fog 32x40","0","EA",""="093924200151","0","9.1","0","0","Matboard","0","0","","N","N","Y"
"OMA2432","Optium Museum Acrylic 24' x 32', 3mm","0","EA",""="N/A","0","158.35","0","0","Glazing & Foam","0","0","","N","N","N"
"B709","Bainbridge Extreme White 32' x 40'","0","EA",""="702946124566","0","9.99","0","0","Matboard","0","0","","N","N","Y"
"C9549","Crescent Inlet 32x40","0","EA",""="093924137655","0","13.37","0","0","Matboard","0","0","","N","Y","Y"
"N3414","Nielsen German Silver 7/32'","0.21875","FT",""="087828193503","0","4.99","7.32","0","Frame Moulding","240","3.96","K","N","N","N"
